	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Operating Income	Operating Expense	Research And Development	Selling General And Administration	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Tradeand Other Payables Non Current	Long Term Debt And Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Debt	Other Current Borrowings	Commercial Paper	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Total Tax Payable	Income Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Investments And Advances	Investmentin Financial Assets	Available For Sale Securities	Net PPE	Accumulated Depreciation	Gross PPE	Leases	Machinery Furniture Equipment	Land And Improvements	Properties	Current Assets	Other Current Assets	Inventory	Finished Goods	Raw Materials	Receivables	Other Receivables	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Cash Equivalents	Cash Financial	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	Income Tax Paid Supplemental Data	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Short Term Debt Payments	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net PPE Purchase And Sale	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Current Liabilities	Change In Other Current Assets	Change In Payables And Accrued Expense	Change In Payable	Change In Account Payable	Change In Inventory	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Depreciation Amortization Depletion	Depreciation And Amortization	Net Income From Continuing Operations	reportedDate	reportedEPS	estimatedEPS	surprise	surprisePercentage	reportTime
2023-06-30																																																																																																																																																		1.26	1.19	0.07	5.8824	
2023-03-31																																																																																																																																																		1.52	1.43	0.09	6.2937	
2022-12-31																																																																																																																																																		1.88	1.95	-0.07	-3.5897	
2022-09-30																																																																																																																																																		1.29	1.27	0.02	1.5748	
2022-06-30																																																																																																																																																		1.2	1.15	0.05	4.3478	
2022-03-31																																																																																																																																																		1.52	1.43	0.09	6.2937	
2021-12-31																																																																																																																																																		2.1	1.89	0.21	11.1111	
2021-09-30																																																																																																																																																		1.24	1.24	0.0	0.0	
2021-06-30																																																																																																																																																		1.3	1.01	0.29	28.7129	
2021-03-31																																																																																																																																																		1.4	0.98	0.42	42.8571	
2020-12-31																																																																																																																																																		1.68	1.42	0.26	18.3099	
2020-09-30																																																																																																																																																		0.73	0.7	0.03	4.2857	
2020-06-30																																																																																																																																																		0.65	0.51	0.14	27.451	
2020-03-31																																																																																																																																																		0.64	0.56	0.08	14.2857	
2019-12-31																																																																																																																																																		1.25	1.14	0.11	9.6491	
2019-09-30																																																																																																																																																		0.76	0.71	0.05	7.0423	
2019-06-30																																																																																																																																																		0.55	0.53	0.02	3.7736	
2019-03-31																																																																																																																																																		0.62	0.59	0.03	5.0847	
2018-12-31																																																																																																																																																		1.05	1.04	0.01	0.9615	
2018-09-30																																																																																																																																																		0.73	0.7	0.03	4.2857	
2018-06-30																																																																																																																																																		0.585	0.545	0.04	7.3394	
2018-03-31																																																																																																																																																		0.6825	0.6725	0.01	1.487	
2017-12-31																																																																																																																																																		0.9725	0.965	0.0075	0.7772	
2017-09-30																																																																																																																																																		0.5175	0.4675	0.05	10.6952	
2017-06-30																																																																																																																																																		0.4175	0.3925	0.025	6.3694	
2017-03-31																																																																																																																																																		0.525	0.505	0.02	3.9604	
2016-12-31																																																																																																																																																		0.84	0.8025	0.0375	4.6729	
2016-09-30																																																																																																																																																		0.4175	0.415	0.0025	0.6024	
2016-06-30																																																																																																																																																		0.355	0.345	0.01	2.8986	
2016-03-31																																																																																																																																																		0.475	0.5	-0.025	-5.0	
2015-12-31																																																																																																																																																		0.82	0.8075	0.0125	1.548	
2015-09-30																																																																																																																																																		0.49	0.47	0.02	4.2553	
2015-06-30																																																																																																																																																		0.4625	0.4525	0.01	2.2099	
2015-03-31																																																																																																																																																		0.5825	0.54	0.0425	7.8704	
2014-12-31																																																																																																																																																		0.765	0.65	0.115	17.6923	
2014-09-30																																																																																																																																																		0.355	0.3275	0.0275	8.3969	
2014-06-30																																																																																																																																																		0.32	0.3075	0.0125	4.065	
2014-03-31																																																																																																																																																		0.415	0.365	0.05	13.6986	
2013-12-31																																																																																																																																																		0.5175	0.5025	0.015	2.9851	
2013-09-30																																																																																																																																																		0.295	0.285	0.01	3.5088	
2013-06-30																																																																																																																																																		0.2675	0.2625	0.005	1.9048	
2013-03-31																																																																																																																																																		0.36	0.3575	0.0025	0.6993	
2012-12-31																																																																																																																																																		0.4925	0.48	0.0125	2.6042	
2012-09-30																																																																																																																																																		0.31	0.3125	-0.0025	-0.8	
2012-06-30																																																																																																																																																		0.3325	0.37	-0.0375	-10.1351	
2012-03-31																																																																																																																																																		0.44	0.3575	0.0825	23.0769	
2011-12-31																																																																																																																																																		0.495	0.3625	0.1325	36.5517	
2011-09-30																																																																																																																																																		0.2525	0.265	-0.0125	-4.717	
2011-06-30																																																																																																																																																		0.2775	0.2075	0.07	33.7349	
2011-03-31																																																																																																																																																		0.2275	0.1925	0.035	18.1818	
2010-12-31																																																																																																																																																		0.23	0.1925	0.0375	19.4805	
2010-09-30																																																																																																																																																		0.165	0.145	0.02	13.7931	
2010-06-30																																																																																																																																																		0.125	0.11	0.015	13.6364	
2010-03-31																																																																																																																																																		0.12	0.0875	0.0325	37.1429	
2009-12-31																																																																																																																																																		0.13	0.075	0.055	73.3333	
2009-09-30																																																																																																																																																		0.065	0.05	0.015	30.0	
2009-06-30																																																																																																																																																		0.0475	0.0425	0.005	11.7647	
2009-03-31																																																																																																																																																		0.0475	0.04	0.0075	18.75	
2008-12-31																																																																																																																																																		0.0625	0.05	0.0125	25.0	
2008-09-30																																																																																																																																																		0.045	0.04	0.005	12.5	
2008-06-30																																																																																																																																																		0.0425	0.0375	0.005	13.3333	
2008-03-31																																																																																																																																																		0.0425	0.0375	0.005	13.3333	
2007-12-31																																																																																																																																																		0.06	0.06	0.0	0.0	
2007-09-30																																																																																																																																																		0.04	0.03	0.01	33.3333	
2007-06-30																																																																																																																																																		0.03	0.03	0.0	0.0	
2007-03-31																																																																																																																																																		0.03	0.02	0.01	50.0	
2006-12-31																																																																																																																																																		0.04	0.03	0.01	33.3333	
2006-09-30																																																																																																																																																		0.02	0.02	0.0	0.0	
2006-06-30																																																																																																																																																		0.02	0.02	0.0	0.0	
2006-03-31																																																																																																																																																		0.02	0.02	0.0	0.0	
2005-12-31																																																																																																																																																		0.02	0.02	0.0	0.0	
2005-09-30																																																																																																																																																		0.01	0.01	0.0	0.0	
2005-06-30																																																																																																																																																		0.01	0.01	0.0	0.0	
2005-03-31																																																																																																																																																		0.01	0.01	0.0	0.0	
2004-12-31																																																																																																																																																		0.01	0.01	0.0	0.0	
2004-09-30																																																																																																																																																		0.02	0.01	0.01	100.0	
2004-06-30																																																																																																																																																		0.01	0.01	0.0	0.0	
2004-03-31																																																																																																																																																		0.01	0.01	0.0	0.0	
2003-12-31																																																																																																																																																		0.01	0.01	0.0	0.0	
2003-09-30																																																																																																																																																		0.01		0.0		
2003-06-30																																																																																																																																																		0.0009		0.0		
2003-03-31																																																																																																																																																		0.0007		0.0		
2002-12-31																																																																																																																																																		-0.0004		0.0		
2002-09-30																																																																																																																																																		-0.0022		0.0		
2002-06-30																																																																																																																																																		0.01	0.01	0.0	0.0	
2002-03-31																																																																																																																																																		0.002		0.0		
2001-12-31																																																																																																																																																		0.01	0.01	0.0	0.0	
2001-09-30																																																																																																																																																		0.0034		0.0		
2001-06-30																																																																																																																																																		0.003		0.0		
2001-03-31																																																																																																																																																		0.01		0.0		
2000-12-31																																																																																																																																																		-0.01	-0.01	0.0	0.0	
2000-09-30																																																																																																																																																		0.01	0.02	-0.01	-50.0	
2000-06-30																																																																																																																																																		0.01	0.01	0.0	0.0	
2000-03-31																																																																																																																																																		0.01	0.01	0.0	0.0	
1999-12-31																																																																																																																																																		0.01	0.01	0.0	0.0	
1999-09-30																																																																																																																																																		0.02	0.02	0.0	0.0	
1999-06-30																																																																																																																																																		0.01	0.01	0.0	0.0	
1999-03-31																																																																																																																																																		0.01	0.01	0.0	0.0	
1998-12-31																																																																																																																																																		0.01	0.01	0.0	0.0	
1998-09-30																																																																																																																																																		0.01	0.02	-0.01	-50.0	
1998-06-30																																																																																																																																																		0.01	0.01	0.0	0.0	
1998-03-31																																																																																																																																																		0.01	0.01	0.0	0.0	
1997-12-31																																																																																																																																																		0.01	0.01	0.0	0.0	
1997-09-30																																																																																																																																																		-0.0114		0.0		
1997-06-30																																																																																																																																																		-0.02	-0.02	0.0	0.0	
1997-03-31																																																																																																																																																		-0.05	-0.04	-0.01	-25.0	
1996-12-31																																																																																																																																																		-0.03	-0.02	-0.01	-50.0	
1996-09-30																																																																																																																																																		0.0018	-0.01	0.0118	118.0	
1996-06-30																																																																																																																																																		-0.02	-0.04	0.02	50.0	
1996-03-31																																																																																																																																																		-0.07	-0.05	-0.02	-40.0	
